sizing,method,bin,n_gt,recall,repr_ratio,det_true_protein,missed_true_protein
emphasis,ours,40-55,67394,0.42232246194023204,1.0513161644501832,1800.6306510841873,1712.7394326956633
emphasis,ours,55-70,37822,0.46586642694727937,1.0206719814529837,2553.6227547649496,2501.9034529876335
emphasis,ours,70-90,30366,0.4901863926760192,1.0042196529455552,3500.691015005006,3485.9813833924236
emphasis,ours,90-120,25867,0.4980090462751769,0.9967474851626976,4865.675431487903,4881.552754250176
emphasis,ours,120-160,19467,0.523501309909077,0.9841906742831422,6897.008379684194,7007.796923810305
emphasis,ours,160-220,16313,0.5386501563170477,1.027143678999115,10037.786387750486,9772.524129761143
emphasis,ours,220-300,11331,0.5664989850851646,1.058158480339658,14949.266689753787,14127.625462071832
emphasis,classical,40-55,67394,0.08251476392557201,1.014858249050134,1773.8844007095913,1747.9134670973751
emphasis,classical,55-70,37822,0.120855586695574,1.01136740359283,2552.9207702197414,2524.2268646889584
emphasis,classical,70-90,30366,0.19511954159257064,1.020095084800472,3550.788697700336,3480.8409045465223
emphasis,classical,90-120,25867,0.38914446978776046,1.0346923630471225,4980.451626454735,4813.461280208475
emphasis,classical,120-160,19467,0.5909487851235424,1.0284790122295484,7030.958869473128,6836.2686898504
emphasis,classical,160-220,16313,0.6618034696254521,1.013039735973928,9954.714968781966,9826.578973441337
emphasis,classical,220-300,11331,0.6850233871679463,1.016713892960672,14666.48455347151,14425.380291364652
dls,ours,40-55,3420,0.4099415204678363,0.9981996136131144,2073.2541878386673,2076.993578803594
dls,ours,55-70,52305,0.4511423382085843,1.0165929601007644,2861.24447063127,2814.542873037075
dls,ours,70-90,43865,0.46588396215661687,0.9995381451186721,3649.523672247141,3651.2100014090447
dls,ours,90-120,68176,0.4773233982633185,0.99241004026037,4716.761386966877,4752.835214897041
dls,ours,120-160,30548,0.49256907162498365,1.0032873031920302,6729.036262796397,6706.988358556406
dls,ours,160-220,11529,0.5126203486859224,1.0071536318945526,9677.044307995267,9608.309995161135
dls,ours,220-300,3043,0.5211961879723956,1.0391588032170311,13980.652654797675,13453.817271735876
dls,classical,40-55,3420,0.1304093567251462,0.9617644166850963,2005.4269305465573,2085.154010437028
dls,classical,55-70,52305,0.17516489819328937,0.9972075841076726,2828.7277386621163,2836.6488419693837
dls,classical,70-90,43865,0.24652912344693947,0.9947118372525176,3635.7469683316185,3655.0756029745003
dls,classical,90-120,68176,0.42039720722835017,1.0143855947493072,4776.280837785122,4708.545608798319
dls,classical,120-160,30548,0.6039675265156476,1.0008618400990053,6717.92910929941,6712.14431417914
dls,classical,160-220,11529,0.6692688004163414,0.987207549929384,9605.331877988414,9729.79985685431
dls,classical,220-300,3043,0.6927374301675978,0.9952041723109564,13660.872251870744,13726.70315494049
